Name,Pos,Org,Top 100,Org Rk,Age,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,PlayerId
Noah Davis,SP,CIN,,33,24.1083333,3/1/18,Tail,45 / 50,50 / 55,50 / 55,35 / 40,40 / 50,2400,2600,91-93,94,35+,25862
Jose Mora,SIRP,OAK,,33,23.6666666,,Tali,45 / 45,55 / 60,,,30 / 35,2000,2500,90-93,94,35+,sa875839
Yoan Aybar,SIRP,COL,,33,23.9111111,,,60 / 60,50 / 55,,,30 / 35,2150,2450,93-96,98,35+,sa829086
Keider Montero,SIRP,DET,,33,20.9027777,,Rise,45 / 50,,50 / 60,40 / 50,35 / 45,2300,3000,93-95,96,35+,sa3002956
Angel Perdomo,SIRP,MIL,,33,27.0666666,,Sink,60 / 60,50 / 50,,,30 / 30,2500,2650,93-96,97,35+,17759
Evan Miller,SIRP,SDP,,33,26.0138888,,,55 / 55,60 / 60,,,40 / 45,2250,2750,92-95,97,35+,sa915725
Diosmerky Taveras,SIRP,HOU,,33,21.6888888,,,60 / 65,45 / 50,,40 / 50,20 / 35,2150,2450,94-97,98,35+,sa3004872
Nick Frasso,SP,TOR,,33,22.6194444,,Rise,45 / 55,,40 / 45,40 / 50,30 / 50,2350,2100,91-93,95,35+,sa3014492
Josh Green,SP,ARI,,34,25.7527777,,Sink,50 / 50,50 / 50,55 / 55,45 / 50,45 / 50,2050,2550,92-95,96,40,sa3006701
Trevor Stephan,SIRP,CLE,,34,25.5166666,,Tail,60 / 60,55 / 60,,40 / 45,40 / 50,2350,2500,90-94,97,40,19932
Neraldo Catalina,SIRP,TBR,,34,20.9444444,,Tail,60 / 70,45 / 55,,,30 / 35,2300,2200,93-96,97,40,sa1172730
Anthony Bender,SIRP,MIA,,34,26.3277777,,Tail,60 / 60,55 / 55,,,40 / 45,,,96-98,99,40,19742
Durbin Feltman,SIRP,BOS,,34,24.1194444,,Rise,55 / 60,55 / 55,45 / 50,,35 / 40,2300,2350,92-95,96,40,sa3007959
Tommy Nance,SIRP,CHC,,34,30.2,,,60 / 60,,55 / 55,,45 / 50,,,93-96,98,40,19178
Ismael Aquino,SIRP,KCR,,34,22.7472222,,,60 / 65,,,40 / 45,30 / 40,2300,2050,93-96,98,40,sa3003104
Brooks Kriske,SIRP,NYY,,34,27.3277777,,Rise,60 / 60,50 / 50,,,35 / 35,2500,2450,92-96,98,35+,21189
Griffin Roberts,SIRP,STL,,34,24.9666666,,Tail,40 / 45,55 / 60,,40 / 40,40 / 40,2250,2700,90-93,95,35+,sa3008483
Franklin Pérez,SP,DET,,34,23.4861111,,Rise,60 / 60,50 / 60,45 / 50,55 / 60,40 / 50,2050,2550,87-90,,35+,sa873722
Pedro Avila,SP,SDP,,34,24.3805555,,,50 / 50,,55 / 55,55 / 60,45 / 50,2200,2750,91-95,96,35+,18864
Yennier Cano,SIRP,MIN,,34,27.2277777,,Sink,50 / 50,50 / 55,,,45 / 45,2150,2500,92-95,97,35+,25911
Travis Bergen,SIRP,TOR,,34,27.6472222,,,55 / 55,,60 / 60,,35 / 35,2300,2900,93-95,96,35+,18581
Kristian Cardozo,SP,SEA,,34,18.5583333,,,40 / 50,,45 / 50,40 / 50,30 / 50,,,87-91,92,35+,sa3014706
Edwin Uceta,SP,LAD,,35,23.3944444,,Tail,45 / 45,,50 / 55,50 / 55,45 / 55,2350,2300,89-92,94,40,20539
Hunter Barnhart,SP,TBR,,35,19.2972222,,,40 / 55,,50 / 55,30 / 45,20 / 45,,,88-92,94,40,sa3014467
Josh Roberson,SIRP,MIA,,35,25.0527777,5/31/17,,50 / 55,55 / 60,,40 / 45,40 / 45,2300,2500,90-93,95,40,sa3007721
Blake Cederlind,SIRP,PIT,,35,25.4083333,3/23/21,Sink,60 / 60,50 / 50,,,30 / 35,2150,2000,96-98,100,40,20344
Trevor McDonald,SP,SFG,,35,20.2638888,,Tail,45 / 50,45 / 55,,40 / 55,30 / 50,2200,2350,90-94,96,35+,sa3011835
Alfredo Garcia,SIRP,NYY,,35,21.8583333,,Tail,45 / 50,,45 / 50,50 / 55,40 / 45,2300,1850,90-94,95,35+,sa3003045
Joe Boyle,SIRP,CIN,,35,21.7972222,,Tail,80 / 80,50 / 55,,,20 / 30,2550,2500,98-101,102,35+,29608
Rodard Avelino,SIRP,STL,,35,21.9944444,,Cut/Rise,60 / 70,45 / 60,,,20 / 30,2600,2750,94-98,99,35+,sa3003040
Kevin Smith,SIRP,BAL,,35,24.05,,Tail,45 / 45,50 / 55,,45 / 50,45 / 50,2450,,87-90,92,35+,sa3007710
Elvin Rodriguez,SP,DET,,35,23.1694444,,Rise/Tail,40 / 45,,50 / 50,50 / 55,40 / 50,2350,2400,89-93,94,35+,20962
Alexis Ramirez,SIRP,MIL,,35,21.8638888,,Rise,50 / 60,45 / 55,,,30 / 40,2150,,91-95,96,35+,sa3006545
Michael Rucker,MIRP,CHC,,35,27.0944444,,Tail,55 / 55,55 / 55,50 / 50,45 / 50,45 / 50,2250,2600,94-97,99,35+,19454
Hobie Harris,SIRP,TOR,,35,27.9388888,,,70 / 70,,45 / 45,,30 / 35,,,96-98,101,35+,18615
Robert Dugger,MIRP,SEA,,35,25.9111111,,,30 / 30,50 / 50,55 / 55,45 / 45,50 / 55,2250,2500,87-93,94,35+,19191
Collin Snider,SIRP,KCR,,35,25.6416666,,Tail,55 / 55,50 / 55,,,50 / 60,,,93-95,96,35+,23307
Tanner Dodson,SIRP/CF,TBR,,36,24.0611111,,,55 / 60,55 / 60,,45 / 50,40 / 45,2250,2450,91-95,97,40,sa3007008
Santiago Florez,SIRP,PIT,,36,21.0611111,,Rise,50 / 60,,50 / 60,,30 / 45,2400,2800,92-94,95,40,sa3003026
Cole Ragans,SP,TEX,,36,23.4694444,,,45 / 45,,40 / 45,60 / 60,40 / 60,2100,2000,91-94,96,40,21846
Chih-Jung Liu,SIRP,BOS,,36,22.15,,Tail,40 / 60,50 / 60,40 / 45,,30 / 40,2300,2400,93-96,98,40,sa3014675
Ramón Rosso,MIRP,PHI,,36,24.9777777,,Cut,,50 / 50,,,40 / 40,2600,2550,94-96,97,35+,20368
Beau Burrows,SP,DET,,36,24.7027777,,Rise,50 / 50,40 / 50,40 / 50,45 / 55,45 / 50,2600,2600,88-91,95,35+,18873
Braden Webb,SIRP,MIL,,36,26.1,4/10/14,Rise,60 / 60,,60 / 60,50 / 55,40 / 45,2250,2300,89-93,95,35+,sa876362
Curtis Taylor,MIRP,TOR,,36,25.85,,Rise,45 / 55,55 / 55,,45 / 50,40 / 45,2350,2300,93-97,98,35+,sa917970
Will Vest,SIRP,SEA,,36,25.9861111,,,50 / 50,55 / 55,,40 / 40,45 / 45,2200,2350,93-95,97,35+,19769
Carlos Sanabria,SIRP,KCR,,36,24.3527777,,,60 / 60,40 / 40,45 / 45,50 / 50,35 / 40,2400,2350,93-97,99,35+,16634
Raymond Burgos,MIRP,CLE,,37,22.5055555,9/7/16,Tail,50 / 50,40 / 45,50 / 50,55 / 55,45 / 50,2200,2350,91-94,96,40,sa918469
Ryan Garcia,SP,TEX,,37,23.3527777,43891,Rise,40 / 40,50 / 55,45 / 45,40 / 45,30 / 50,2300,2350,91-93,94,40,sa3011190
Esmerlin Vinicio,SP,SFG,,37,18.3361111,,,20 / 50,,40 / 55,50 / 60,35 / 55,,,83-85,86,35+,sa3014708
Glenn Otto,SIRP,NYY,,37,25.2222222,,Rise,55 / 55,,55 / 60,,35 / 40,2400,2650,92-94,96,35+,21366
Jordan Holloway,SIRP,MIA,,37,24.9666666,6/19/17,,60 / 60,45 / 50,,,35 / 40,2250,2500,94-96,98,35+,20631
Jorge Rodriguez,SP,BOS,,37,20.7666666,,Rise,40 / 50,,45 / 50,45 / 55,35 / 55,2300,2900,89-91,93,35+,sa3006074
Jeremiah Estrada,SIRP,CHC,,37,22.5833333,8/25/19,Tail,50 / 55,,45 / 45,60 / 60,30 / 40,2350,2400,92-95,96,35+,22210
Ty Adcock,SIRP,SEA,,37,24.3166666,,,65 / 65,45 / 50,40 / 50,45 / 50,30 / 35,,,94-97,100,35+,25651
Yefri Del Rosario,SIRP,KCR,,37,21.6888888,,,50 / 50,,50 / 55,40 / 45,35 / 45,2200,2400,91-94,96,35+,sa3002971
Max Kranick,SP,PIT,,38,23.8611111,,Tail,50 / 55,45 / 50,,40 / 45,45 / 45,,,92-96,98,40,22175
Tekoah Roby,SP,TEX,,38,19.7027777,,,40 / 50,,40 / 45,45 / 55,25 / 50,,,90-92,94,40,sa3014519
Junior Mieses,SIRP,ARI,,38,21.6277777,,Cut/Rise,45 / 55,45 / 50,,,30 / 45,2450,2300,90-93,95,35+,sa3005258
Victor Santos,SP,PHI,,38,20.8861111,,Tail,35 / 35,45 / 50,,,35 / 60,2150,2350,87-91,92,35+,sa3003083
Paul Campbell,MIRP,MIA,,38,25.8472222,,,40 / 40,45 / 45,55 / 55,,55 / 55,,,91-93,95,35+,22248
Blaine Knight,SIRP,BAL,,38,24.925,,Rise/Tail,45 / 50,50 / 50,55 / 60,40 / 45,40 / 45,2250,2950,91-94,97,35+,sa3008532
Cam Robinson,SIRP,MIL,,38,21.7361111,,Rise,50 / 50,,50 / 50,,30 / 40,2300,,88-93,94,35+,sa3005216
Mason Fox,SIRP,SDP,,38,24.4,,,55 / 60,,55 / 55,,40 / 40,2450,2550,90-94,95,35+,sa3007460
Ethan Roberts,SIRP,CHC,,38,23.9083333,,Cut,45 / 45,,70 / 70,,35 / 40,,,90-94,95,35+,24930
Roither Hernandez,SIRP,TOR,,38,23.2388888,,Rise,60 / 65,40 / 55,,30 / 40,30 / 35,2350,2450,95-98,99,35+,sa3004333
Tommy Romero,MIRP,TBR,,39,23.8972222,,Cut/Rise,50 / 50,,45 / 45,45 / 50,50 / 55,2200,,90-93,94,40,23465
Raffi Vizcaíno,SIRP,SFG,,39,25.4972222,,Rise/Tail,60 / 60,55 / 55,,50 / 50,30 / 30,2450,2700,94-97,98,35+,sa736742
Osiel Rodriguez,SP,NYY,,39,19.525,,Tail,30 / 60,45 / 55,50 / 60,45 / 55,35 / 50,,,86-89,90,35+,sa3009991
Hsin-Chieh Lin,SP,PHI,,39,22.2027777,,Rise,40 / 45,40 / 50,,40 / 50,35 / 50,2450,2450,89-92,94,35+,sa3008535
Will Stewart,MIRP,MIA,,39,23.8805555,,Tail,40 / 40,45 / 50,45 / 50,45 / 50,50 / 55,2000,2650,87-89,91,35+,sa875247
Tyler Wells,SIRP,BAL,,39,26.7638888,,Rise,55 / 55,50 / 50,55 / 55,,55 / 55,,,92-94,96,35+,20000
Angel De Jesus,SIRP,DET,,39,24.3,,Tail,65 / 65,45 / 45,,,30 / 35,2300,2400,91-95,96,35+,22323
Evan Reifert,SIRP,MIL,,39,22.0472222,,,55 / 60,55 / 60,,,20 / 35,,,94-97,98,35+,sa3014860
Eury Ramos,SIRP,CHC,,39,23.6416666,,Rise/Cut,65 / 65,45 / 50,,,40 / 45,,,95-99,100,35+,sa873729
Naswell Paulino,SIRP,TOR,,39,21.1222222,,Rise,40 / 55,,45 / 55,,30 / 40,2450,2550,90-92,93,35+,sa3002998
Samuel Valerio,SIRP,KCR,,39,19.6472222,,Tail,60 / 70,,40 / 45,45 / 50,30 / 45,2400,2250,94-97,99,35+,sa3009220
Bobby Ay,SIRP,ARI,,40,24.0083333,,Tail,40 / 50,50 / 60,40 / 45,,40 / 50,2150,2800,90-92,93,35+,sa3011535
Octavio Becerra,SP,LAD,,40,20.3277777,,Sink,40 / 50,45 / 55,45 / 50,45 / 60,30 / 45,,,90-93,94,35+,sa3008303
Colby White,SIRP,TBR,,40,22.9083333,,Cut/Rise,55 / 60,50 / 55,,,30 / 40,2350,,92-95,97,35+,sa3011200
Nicoly Pina,SP,PHI,,40,21.6472222,,Rise,55 / 60,45 / 55,,,30 / 40,2300,2350,93-96,97,35+,sa3005875
Wladimir Pinto,SIRP,DET,,40,23.3027777,,Rise,60 / 60,45 / 50,,30 / 35,30 / 35,2450,2000,94-97,98,35+,sa871482
Andrew Politi,SIRP,BOS,,40,24.9916666,,Rise,55 / 55,50 / 55,,45 / 50,30 / 40,2450,2500,92-95,96,35+,sa3007243
Nick Bennett,MIRP,MIL,,40,23.75,,Rise,45 / 45,50 / 55,55 / 55,45 / 45,35 / 40,2300,,90-92,93,35+,sa3011410
Anderson Paulino,MIRP,KCR,,40,22.7194444,,Sink/Tail,60 / 60,45 / 55,,,40 / 45,,,95-97,98,35+,sa3007991
Marc Church,SIRP,TEX,,41,20.1694444,,Rise,60 / 60,50 / 55,,,35 / 55,,,94-96,97,40,sa3015080
Randy Vásquez,MIRP,NYY,,41,22.5777777,,Cut/Rise,45 / 50,,55 / 60,40 / 45,40 / 45,2500,3150,90-94,95,35+,24719
West Tunnell,SIRP,ARI,,41,27.5305555,,Cut/Rise,60 / 60,50 / 55,,,35 / 40,2500,2600,93-96,97,35+,sa3002749
Mitch White,SIRP,LAD,,41,26.425,11/1/13,Sink,55 / 55,50 / 50,55 / 55,,40 / 40,2300,2450,93-95,97,35+,19225
Andrew Schultz,SIRP,PHI,,41,23.8361111,,Tail,70 / 70,45 / 50,,35 / 40,30 / 35,2450,,96-99,100,35+,sa3010782
Ryan Zeferjahn,SIRP,BOS,,41,23.2527777,,Rise,55 / 60,50 / 55,,40 / 45,30 / 45,2300,2250,94-96,98,35+,sa3011217
Anthony Veneziano,SIRP,KCR,,41,23.75,,Tail,50 / 55,,,50 / 55,30 / 40,,,94-96,97,35+,27453
Cole Waites,SIRP,SFG,,42,22.975,,Cu/Rise,70 / 70,45 / 55,,,20 / 35,,,96-99,100,35+,25665
Yoljeldriz Diaz,SP,NYY,,42,19.8805555,,Rise,40 / 45,35 / 55,50 / 60,40 / 45,35 / 50,2150,2900,90-92,93,35+,sa3010248
Matt Mercer,SIRP,ARI,,42,24.75,,Rise,45 / 55,40 / 40,45 / 45,55 / 55,40 / 40,2150,2450,88-93,96,35+,sa3007837
Cam Hill,SIRP,CLE,,42,27.0194444,,Rise,50 / 50,55 / 55,50 / 50,,40 / 40,2300,2750,91-94,95,35+,16840
Carlos Garcia,SIRP,TBR,,42,22.5083333,,Rise,55 / 60,45 / 50,,40 / 50,30 / 40,2600,2500,90-94,95,35+,sa3006590
Brenan Hanifee,SP,BAL,,42,23.0055555,,Sink,55 / 60,45 / 50,,,45 / 50,2050,2100,91-93,95,35+,22304
Carlos Guzman,SIRP,DET,,42,23.0416666,,None,50 / 55,,40 / 45,50 / 60,35 / 50,2300,2150,90-94,96,35+,sa871477
Shane Drohan,SP,BOS,,42,22.4,,Rise,40 / 50,,55 / 60,40 / 45,30 / 40,2300,2650,89-92,94,35+,sa3014447
Clayton Andrews,SIRP,MIL,,42,24.4083333,,Tail,30 / 30,45 / 45,,55 / 60,40 / 50,1950,2500,85-91,93,35+,23631
Keegan Thompson,MIRP,CHC,,42,26.2166666,6/23/15,,50 / 50,,55 / 55,45 / 50,50 / 50,2400,2600,93-96,98,35+,19795
Zach Haake,SIRP,KCR,,42,24.6472222,,,60 / 60,55 / 60,,40 / 45,30 / 35,2400,2500,92-95,97,35+,sa3008523
Alex Speas,SIRP,TEX,,43,23.2416666,,,70 / 70,,70 / 70,,20 / 30,2350,2700,95-97,99,40,21859
Dedniel Núñez,SIRP,SFG,,43,24.9888888,3/20/21,,60 / 60,60 / 60,,,35 / 40,2600,,93-94,96,35+,23055
Avery Short,SP,ARI,,43,20.2138888,,Rise,30 / 40,45 / 50,45 / 50,30 / 45,25 / 60,,,88-92,93,35+,sa3011712
Juan Morillo,SIRP,LAD,,43,22.2,,Rise,50 / 55,50 / 55,,30 / 40,30 / 45,2300,2550,92-94,96,35+,sa917772
Eli Morgan,MIRP,CLE,,43,25.05,,Rise,45 / 45,45 / 50,45 / 45,60 / 70,50 / 55,2400,2500,87-90,92,35+,20203
Victor Munoz,SIRP,TBR,,43,20.4333333,,,45 / 55,,45 / 50,40 / 50,35 / 50,2300,2250,90-93,95,35+,sa3006381
Jake Zebron,SP,BAL,,43,21.325,,Rise,40 / 45,,50 / 60,30 / 45,35 / 50,2100,2700,88-92,94,35+,sa3007250
Po-Yu Chen,SP,PIT,,43,19.6638888,,,40 / 50,40 / 45,45 / 50,40 / 50,25 / 55,,,91-92,93,35+,sa3014699
Bradley Blalock,SP,BOS,,43,20.4333333,,Rise,40 / 55,40 / 50,30 / 45,30 / 40,30 / 45,,,91-93,95,35+,sa3011809
Tyler Schlaffer,SP,CHC,,43,20.0194444,,Rise,45 / 50,,45 / 50,45 / 55,20 / 45,2150,2250,91-93,95,35+,sa3011815
Cole Uvila,SIRP,TEX,,44,27.3361111,,Rise,50 / 50,,60 / 60,55 / 55,30 / 40,2550,,91-94,96,40,sa3006804
Jake Agnos,MIRP,NYY,,44,23.0222222,,Rise,45 / 45,,45 / 45,50 / 55,40 / 50,2300,1850,88-92,93,35+,sa1054040
Edinson Soto,SIRP,ARI,,44,24.7055555,,Cut/Rise,50 / 55,45 / 55,50 / 55,,,2400,2800,92-95,96,35+,sa3009831
Osvanni Gutierrez,SP,LAD,,44,20.0194444,,Tail,35 / 50,,30 / 45,50 / 70,20 / 45,,,90-92,93,35+,sa3009730
Robert Broom,SIRP,CLE,,44,24.7055555,,Sink/Tail,40 / 40,55 / 55,,,50 / 55,2100,,87-90,92,35+,sa3007235
Ignacio Feliz,SP,BAL,,44,21.6055555,,Cut,40 / 45,,50 / 55,40 / 50,40 / 50,2350,2600,86-90,92,35+,sa3002982
Braxton Ashcraft,SIRP,PIT,,44,21.6555555,,Tail,35 / 45,50 / 55,45 / 50,40 / 45,40 / 50,2250,2400,88-93,95,35+,sa3008470
Koen Moreno,SP,CHC,,44,19.8333333,,,40 / 50,,45 / 50,35 / 50,35 / 55,,,88-92,94,35+,sa3014509
Eduardo Herrera,SIRP,KCR,,44,21.4055555,,Rise,60 / 70,,45 / 50,,30 / 40,2400,2250,94-96,97,35+,sa3002702
Eduardo Herrera,SIRP,KCR,,44,21.4055555,,Rise,60 / 70,,45 / 50,,30 / 40,2400,2250,94-96,97,35+,sa3002702
Nic Laio,SIRP,TEX,,45,23.8416666,,Tail,50 / 50,50 / 60,,35 / 45,45 / 50,,,93-94,95,40,sa3009861
Ken Waldichuk,MIRP,NYY,,45,23.3972222,,Rise/Tail,45 / 55,45 / 50,,45 / 50,45 / 50,2400,2200,90-94,95,35+,27681
Luis Castillo,SIRP,ARI,,45,26.225,,Tail,45 / 45,50 / 50,,55 / 55,50 / 50,,,90-92,94,35+,20638
Kyle Hurt,SP,LAD,,45,23.0027777,,Tail/Rise,45 / 50,40 / 45,,50 / 55,30 / 50,2100,2300,91-94,95,35+,
Xzavion Curry,SP,CLE,,45,22.8444444,,Rise,45 / 50,45 / 50,50 / 50,40 / 45,35 / 55,,,89-94,,35+,25595
Graeme Stinson,MIRP,TBR,,45,23.8194444,,,40 / 60,60 / 70,,40 / 40,35 / 45,2300,2650,93-95,98,35+,sa3011900
Jorge Guzmán,SIRP,MIA,,45,25.3416666,,,55 / 55,55 / 55,,45 / 50,30 / 35,2250,1900,95-97,100,35+,17505
Félix Bautista,SIRP,BAL,,45,25.9472222,,Tail,65 / 65,,,,30 / 35,2450,,93-98,100,35+,20666
Luis De La Rosa,SP,BOS,,45,18.9027777,,Rise,35 / 50,45 / 50,45 / 50,45 / 55,25 / 55,,,88-90,92,35+,sa3009778
Richard Gallardo,SP,CHC,,45,19.7361111,,Sink,45 / 45,,45 / 45,50 / 55,35 / 55,1950,2250,89-93,94,35+,sa3009990
Drew Parrish,SP,KCR,,45,23.4805555,,,35 / 40,,45 / 45,50 / 55,35 / 50,2250,2700,87-90,92,35+,sa3011395
Hyun-il Choi,MIRP,LAD,,46,21.0111111,,Sink,40 / 45,,35 / 45,,35 / 55,2300,2150,88-92,94,35+,sa3009992
Scott Moss,MIRP,CLE,,46,26.6527777,,Rise,55 / 55,50 / 50,,50 / 50,35 / 40,2400,2400,89-93,95,35+,sa738902
Peyton Battenfield,SIRP,TBR,,46,23.8083333,,,50 / 55,,45 / 45,45 / 50,35 / 45,2350,,92-95,,35+,25777
Yerry De Los Santos,SIRP,PIT,,46,23.4694444,,Tail,55 / 60,50 / 55,,,35 / 40,2250,2400,93-96,98,35+,21420
Nelson L. Alvarez,SIRP,NYY,,47,22.9722222,,Cut,50 / 55,50 / 55,,,30 / 40,2450,2550,94-96,97,35+,sa3010783
J.C. Mejía,SP,CLE,,47,24.7638888,,Sink,50 / 50,50 / 55,,45 / 50,50 / 50,2150,,90-94,95,35+,20617
Breidy Encarnación,SP,MIA,,47,20.5611111,,,40 / 45,,45 / 50,40 / 50,40 / 50,2400,2250,87-91,93,35+,sa3009205
Chris Murphy,MIRP,BOS,,47,22.9888888,,Rise,50 / 55,40 / 40,45 / 50,50 / 55,35 / 40,2350,2200,89-93,95,35+,26214
Dakota Mekkes,SIRP,CHC,,47,26.5694444,,,55 / 55,55 / 55,,55 / 55,35 / 35,2300,2400,91-93,96,35+,sa915807
Jose Martinez,SIRP,LAD,,48,22.1055555,,Sink,45 / 50,40 / 45,,55 / 60,40 / 50,2250,2400,91-95,97,35+,sa3002796
Luis Palacios,SP,MIA,,48,20.9166666,,,30 / 40,45 / 50,,50 / 55,45 / 60,2150,2350,85-87,89,35+,sa3003021
Daniel Robert,SIRP,TEX,,48,26.7527777,,,50 / 50,70 / 70,,,45 / 45,,,94-95,96,35+,sa3009856
Luke Little,SIRP,CHC,,48,20.7527777,,,65 / 70,50 / 55,,,30 / 35,,,94-97,99,35+,28036
Woo Young Jin,SP,KCR,,48,20.2666666,,,30 / 40,,40 / 45,,35 / 50,2050,,85-88,91,35+,sa3010132
Adam Scott,SIRP,CLE,,49,25.6416666,,Tail,50 / 55,55 / 60,,40 / 45,45 / 55,2250,,90-93,95,35+,sa3006826
Wilkin Ramos,SP,PIT,,49,20.5861111,,Cut,45 / 60,,40 / 45,45 / 55,35 / 45,2150,2200,89-93,95,35+,sa3006487
Luis Perales,SIRP,BOS,,49,18.1305555,,Rise,40 / 55,,45 / 55,30 / 45,20 / 40,,,,95,35+,sa3014677
Gus Varland,SIRP,LAD,,50,24.5694444,8/1/19,,50 / 55,50 / 55,45 / 50,,40 / 45,2450,2350,92-94,95,35+,24737
Joel Peguero,SIRP,TBR,,50,24.0722222,,Tail,70 / 70,55 / 60,,,35 / 40,2300,2500,93-97,98,35+,sa917689
Andy Maldonado,SP,PIT,,50,18.8611111,,Tail,40 / 50,40 / 45,,45 / 55,35 / 50,2300,2000,89-93,95,35+,sa3009607
Jacob Latz,SP,TEX,,50,25.1472222,,,45 / 45,,55 / 55,40 / 45,45 / 50,,,89-93,94,35+,21306
Daniel Tillo,SIRP,KCR,,50,24.9666666,7/29/20,,60 / 60,50 / 50,,40 / 45,35 / 40,2250,2200,92-95,97,35+,sa876284
Kelvin Bautista,SIRP,LAD,,51,21.9,,,60 / 60,,50 / 55,,20 / 30,,,94-97,98,35+,sa3006491
Sandy Gaston,SIRP,TBR,,51,19.4583333,,Rise,55 / 65,,45 / 50,45 / 50,30 / 45,2100,2150,93-96,97,35+,sa3011136
Fernery Ozuna,SIRP,TEX,,51,25.5611111,,,55 / 60,45 / 50,,45 / 50,40 / 40,,,94-97,100,35+,sa739259
Jeremy Wu-Yelland,SIRP,BOS,,51,21.9361111,,Tail,50 / 55,50 / 55,,40 / 50,30 / 35,,,90-93,96,35+,sa3014520
Guillermo Zuñiga,SIRP,LAD,,52,22.6416666,,Tail,55 / 60,55 / 60,,40 / 45,30 / 40,2350,2450,91-96,97,35+,19588
Audry Lugo,SIRP,TBR,,54,22.5888888,,Cut,45 / 55,,55 / 60,40 / 45,40 / 50,2300,2750,92-94,96,35+,sa3008710
Dylan MacLean,SP,TEX,,54,18.8861111,,Rise,30 / 50,,45 / 55,30 / 45,25 / 50,,,88-90,91,35+,sa3014508
Daiveyon Whittle,MIRP,TBR,,57,21.5555555,,Rise,40 / 45,45 / 50,,,40 / 50,2050,2350,89-92,94,35+,sa3007617
Jayden Murray,MIRP,TBR,,58,24.1388888,,Rise,45 / 55,,50 / 60,,35 / 45,2600,2700,90-94,96,35+,sa1170405
Aneudy Cortorreal,SIRP,TBR,,59,21.4666666,,Rise,65 / 70,40 / 50,40 / 45,40 / 45,30 / 40,2250,2100,93-97,99,35+,sa3009242
Scott Engler,SIRP,TEX,,59,24.4694444,9/7/16,,45 / 45,,,,40 / 40,,,93-94,95,35+,sa918353
Angel Felipe,SIRP,TBR,,60,23.7527777,,Rise,55 / 60,45 / 50,,45 / 55,20 / 35,2400,2450,93-96,98,35+,21163
Hever Bueno,SIRP,TEX,,61,26.5222222,6/10/16,,60 / 60,50 / 55,,,30 / 35,2300,2600,92-97,99,35+,sa738180
Kelvin Gonzalez,SIRP,TEX,,62,23.4361111,,,60 / 60,,55 / 55,50 / 50,40 / 40,2450,,94-96,98,35+,sa920544
