Name,Pos,Org,Top 100,Org Rk,Age,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,PlayerId
Trent Palmer,MIRP,TOR,,25,22.1611111,,Tail,45 / 50,40 / 45,35 / 40,,30 / 45,,,92-94,96,40,sa3014491
Justin Steele,SIRP,CHC,,25,25.8888888,,,50 / 50,55 / 55,45 / 45,40 / 40,40 / 40,,,93-96,97,40,17312
Damon Casetta-Stubbs,SIRP,SEA,,25,21.8583333,,Tail,45 / 50,50 / 55,55 / 60,30 / 30,40 / 50,2200,2400,89-93,95,40,sa3008387
Yohanse Morel,MIRP,KCR,,25,20.7722222,,Sink,45 / 45,45 / 50,,55 / 60,35 / 50,2300,2550,89-93,94,40,sa3005685
R.J. Dabovich,SIRP,SFG,,25,22.3888888,,Rise,60 / 60,50 / 55,50 / 50,,30 / 40,2400,2500,93-96,98,40,sa3014431
Connor Higgins,SIRP,LAA,,25,24.8611111,,Rise,55 / 55,50 / 55,,,30 / 35,2250,,91-94,97,35+,sa3006808
Luis Mey,SIRP,CIN,,25,19.9361111,,Rise,55 / 60,,40 / 45,35 / 45,30 / 45,2050,2250,95-97,98,35+,sa3010130
Andre Pallante,SP,STL,,25,22.7027777,,Cut,40 / 45,50 / 55,50 / 50,40 / 45,35 / 50,2150,,90-93,95,35+,26108
Aiden McIntyre,SIRP,OAK,,25,25.7611111,,Rise/Tail,55 / 65,40 / 45,,45 / 55,30 / 40,,,92-95,96,35+,sa3007733
Ben Bowden,SIRP,COL,,25,26.6111111,,Sink,45 / 45,45 / 45,,60 / 60,40 / 40,2450,2150,92-95,96,35+,20198
Jose Alberto Rivera,SIRP,HOU,,25,24.2972222,,,70 / 70,,55 / 55,,30 / 35,2350,2300,93-97,99,35+,sa3003090
Cody Morris,MIRP,CLE,,26,24.575,6/2/15,Tail,55 / 55,,50 / 55,50 / 50,40 / 45,2400,2400,92-95,98,40+,25388
Avery Weems,MIRP,TEX,,26,23.9861111,,Tail,50 / 50,,55 / 60,45 / 50,30 / 40,,,92-94,96,40+,sa3010256
Jimmy Lewis,SP,LAD,,26,20.5805555,,Sink,40 / 40,,45 / 50,45 / 55,35 / 55,2250,2250,90-92,93,40,sa3014533
Jake Eder,SIRP,MIA,,26,22.6444444,,,55 / 55,,55 / 60,,30 / 40,,,92-95,97,40,sa3014917
Garrett Stallings,SP,BAL,,26,23.8138888,,Sink,40 / 45,45 / 50,45 / 50,45 / 50,45 / 60,1850,2200,88-92,93,40,sa3014457
Jovani Moran,SIRP,MIN,,26,24.1027777,,Rise,45 / 45,45 / 45,,70 / 70,40 / 40,2300,2475,90-93,95,40,20422
Yovanny Cruz,SP,CHC,,26,21.7722222,,Sink/Tail,65 / 70,45 / 50,,50 / 60,30 / 45,1900,2100,97-99,100,40,sa3002951
Josias De Los Santos,SIRP,SEA,,26,21.8388888,,,50 / 55,50 / 55,,,45 / 50,2300,2450,90-95,97,40,sa3006508
Prelander Berroa,SIRP,SFG,,26,21.1194444,,Tail,55 / 60,45 / 50,,45 / 55,30 / 40,2450,2400,92-96,98,40,22932
Nicio Rodriguez,SIRP,NYY,,26,21.7444444,,Rise,50 / 60,45 / 55,,,30 / 45,2500,2550,89-94,96,40,sa3011194
Gabriel Tapia,SP,LAA,,26,19.0305555,,Rise,40 / 45,,45 / 50,50 / 55,20 / 45,2300,,90-93,94,35+,sa3009779
Jacob Heatherly,MIRP,CIN,,26,23.0305555,,Tail,45 / 50,,45 / 50,50 / 55,30 / 40,1800,1950,90-94,95,35+,sa3004736
Jorge Juan,SP,OAK,,26,22.2361111,,,60 / 60,40 / 45,40 / 45,40 / 50,30 / 50,,,93-97,98,35+,sa3005826
Darius Vines,SP,ATL,,26,23.0861111,,Cut/Rise,45 / 50,,45 / 50,55 / 60,35 / 50,2350,,88-92,94,35+,25928
Will Ethridge,SP,COL,,26,23.4472222,,Tail,40 / 40,45 / 50,,50 / 50,35 / 60,2200,2150,90-95,96,35+,sa3011337
Tyler Brown,SIRP,HOU,,26,22.6638888,,Cut/Rise,50 / 55,,50 / 60,,30 / 40,,,91-95,96,35+,sa3014450
Hunter Schryver,SIRP,CHW,,26,26.1611111,2/20/20,Rise,60 / 60,50 / 50,,,45 / 55,2400,1050,90-93,94,35+,sa873263
Nick Mears,SIRP,PIT,,27,24.65,,Rise,70 / 70,,50 / 55,,20 / 35,2400,2450,94-97,98,40+,25376
Demarcus Evans,SIRP,TEX,,27,24.6083333,,Rise,70 / 70,,45 / 45,,30 / 40,2550,2450,92-95,97,40+,21087
Taylor Widener,SP,ARI,,27,26.6027777,,Cut,40 / 40,45 / 45,,60 / 60,50 / 55,2250,2150,91-96,98,40,19266
